date,query,page,impressions,clicks,position,ctr
2026-01-01,finance automation for startups,/blog/finance-automation,120,8,7.2,0.067
2026-01-08,finance automation for startups,/blog/finance-automation,132,9,7.0,0.068
2026-01-15,finance automation for startups,/blog/finance-automation,149,10,6.8,0.067
2026-01-22,finance automation for startups,/blog/finance-automation,170,13,6.5,0.076
2026-01-29,finance automation for startups,/blog/finance-automation,220,19,6.0,0.086
2026-02-05,finance automation for startups,/blog/finance-automation,281,25,5.6,0.089
2026-02-12,finance automation for startups,/blog/finance-automation,335,31,5.3,0.092
2026-02-19,finance automation for startups,/blog/finance-automation,390,36,5.1,0.092
2025-12-20,bookkeeping services for startups,/services/bookkeeping,540,50,4.1,0.093
2025-12-27,bookkeeping services for startups,/services/bookkeeping,528,48,4.0,0.091
2026-01-03,bookkeeping services for startups,/services/bookkeeping,517,46,4.2,0.089
2026-01-10,bookkeeping services for startups,/services/bookkeeping,490,41,4.4,0.084
2026-01-17,bookkeeping services for startups,/services/bookkeeping,470,36,4.9,0.077
2026-01-24,bookkeeping services for startups,/services/bookkeeping,445,30,5.5,0.067
2026-01-31,bookkeeping services for startups,/services/bookkeeping,420,26,5.9,0.062
2026-02-07,bookkeeping services for startups,/services/bookkeeping,401,23,6.1,0.057
2026-02-14,bookkeeping services for startups,/services/bookkeeping,388,20,6.4,0.052
2026-02-21,bookkeeping services for startups,/services/bookkeeping,370,18,6.8,0.049
